time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1724757564054000000,0.479000244140625,0,1.5,6.51276969909668,81.22200012207031,0,0,526.7000122070312,73.7499794,18.6101582
1724757565604868900,2.029868896484375,180,0.4099999964237213,6.540828227996826,7,1.6431212425231934,85.00732421875,526.7000122070312,73.7506351,18.6102125
1724757566040519200,2.465519287109375,180,0.3199999928474426,6.545185089111328,6.75,0.29106298089027405,7.354893207550049,526.7000122070312,73.750624,18.6102092
1724757567044012300,3.46901220703125,180,0.3100000023841858,6.555219650268555,6.5,0.2909170687198639,8.436062812805176,526.7000122070312,73.7506261,18.6102097
1724757568047581000,4.472580810546875,180,0.38999998569488525,6.565255641937256,6.5,0.27084407210350037,2.324200391769409,526.7000122070312,73.7506208,18.610206
1724757569047767000,5.47276708984375,180,0.6299999952316284,6.575257301330566,6.5,0.24488525092601776,355.92584228515625,526.7000122070312,73.7506173,18.6102036
1724757570043571500,6.468571533203125,180,0.8299999833106995,6.5852155685424805,6.415999889373779,0.21263229846954346,1.3519833087921143,526.7000122070312,73.7506194,18.6102019
1724757571044831700,7.469831787109375,4.5,0.6899999976158142,6.59522819519043,6.099999904632568,3.2487924098968506,145.4430694580078,526.7000122070312,73.7506307,18.6101723
1724757572042904600,8.467904541015624,3.299999952316284,0.7900000214576721,6.605208873748779,5.915999889373779,4.553164958953857,151.88490295410156,526.7000122070312,73.7506468,18.6101347
1724757573045913600,9.47091357421875,2.5,0.8399999737739563,6.615238666534424,5.665999889373779,5.679635047912598,157.3731689453125,526.7000122070312,73.7506699,18.6100851
1724757574043372500,10.46837255859375,1.7999999523162842,0.7799999713897705,6.625213623046875,5.25,7.05945348739624,160.32974243164062,526.7000122070312,73.7506923,18.6100191
1724757575050630700,11.475630615234374,1.5,0.6800000071525574,6.6352858543396,4.599999904632568,9.065917015075684,160.9327850341797,526.7000122070312,73.7507167,18.6099325
1724757576045766000,12.470765869140624,0.6000000238418579,0.4099999964237213,6.645237445831299,4.199999809265137,10.088261604309082,159.8345184326172,526.7000122070312,73.7507455,18.6098471
1724757577045570800,13.47057080078125,0.6000000238418579,0.3700000047683716,6.655235290527344,3.9000000953674316,9.760479927062988,161.01507568359375,526.7000122070312,73.7507767,18.6097565
1724757578045720300,14.47072021484375,0.6000000238418579,0.38999998569488525,6.665236949920654,3.8329999446868896,9.302135467529297,160.1785888671875,526.7000122070312,73.7508084,18.6096709
1724757579050884400,15.47588427734375,0.699999988079071,0.3700000047683716,6.675288677215576,3.5999999046325684,9.292722702026367,160.01206970214844,526.7000122070312,73.7508387,18.6095876
1724757580045534000,16.470533935546875,0.5,0.3100000023841858,6.685235023498535,3.5,9.34488296508789,159.9920654296875,526.7000122070312,73.7508706,18.6095038
1724757581045911300,17.470911376953126,1.100000023841858,0.47999998927116394,6.6952385902404785,3.299999952316284,9.032552719116211,161.02342224121094,526.7000122070312,73.7508976,18.6094246
1724757582049599700,18.474599853515624,0.800000011920929,0.44999998807907104,6.705275535583496,3.200000047683716,7.895948886871338,160.50814819335938,526.7000122070312,73.7509212,18.6093538
1724757583055196700,19.48019677734375,0.800000011920929,0.4099999964237213,6.715331554412842,3.0999999046325684,7.286279678344727,160.2433319091797,526.7000122070312,73.7509458,18.6092917
1724757584050867500,20.475867431640626,1.2000000476837158,0.3799999952316284,6.725288391113281,3.0829999446868896,7.167184829711914,158.18994140625,526.7000122070312,73.7509714,18.6092286
1724757585046071600,21.471071533203126,1.100000023841858,0.4099999964237213,6.735240459442139,3,7.060188293457031,158.0538330078125,526.7000122070312,73.7509967,18.6091648
1724757586052033000,22.477032958984374,1.600000023841858,0.6100000143051147,6.745299816131592,3,7.748922824859619,162.92161560058594,526.7000122070312,73.7510188,18.6091005
1724757587052767200,23.477767333984374,0.699999988079071,0.5400000214576721,6.755307197570801,3,9.752569198608398,161.2858123779297,526.7000122070312,73.7510449,18.6090212
1724757588059316700,24.484316650390625,1.100000023841858,0.5899999737739563,6.7653727531433105,3,10.693201065063477,158.05824279785156,526.7000122070312,73.7510799,18.6089286
1724757589042061300,25.467061279296875,0.699999988079071,0.4300000071525574,6.775200366973877,3,10.18262004852295,157.202880859375,526.7000122070312,73.7511202,18.6088406
1724757590050288400,26.475288330078126,1.399999976158142,0.6100000143051147,6.785282611846924,3,8.234498023986816,156.56712341308594,526.7000122070312,73.7511528,18.6087665
1724757591051730700,27.476730712890625,1.5,0.5400000214576721,6.795297145843506,3.0829999446868896,6.424476146697998,154.49693298339844,526.7000122070312,73.7511817,18.6087109
1724757592043839500,28.468839599609375,2.9000000953674316,0.8399999737739563,6.80521821975708,3.1659998893737793,5.930205345153809,153.29371643066406,526.7000122070312,73.7512099,18.6086647
1724757593053725400,29.478725341796874,2,0.6399999856948853,6.815317153930664,3.25,5.6831159591674805,155.78526306152344,526.7000122070312,73.7512342,18.6086185
1724757594052233000,30.47723291015625,2.5,0.75,6.8253021240234375,3.4000000953674316,5.246029376983643,164.13330078125,526.7000122070312,73.7512486,18.6085714
1724757595053501400,31.47850146484375,2.299999952316284,0.6700000166893005,6.835314750671387,3.5,5.24759578704834,165.80882263183594,526.7000122070312,73.7512588,18.608523
1724757596048578600,32.47357861328125,1.600000023841858,0.4399999976158142,6.8452653884887695,3.5,7.04525899887085,161.8014373779297,526.7000122070312,73.7512744,18.6084662
